コードA,銘柄A,業種A,コードB,銘柄B,業種B,相関
2169.T,ＣＤＳ,サービス業,2904.T,一正蒲鉾,食料品,0.846
2911.T,旭松食品,食料品,3059.T,ヒラキ,小売業,0.846
2169.T,ＣＤＳ,サービス業,2683.T,魚喜,小売業,0.845
2186.T,ソーバル,サービス業,2818.T,ピエトロ,食料品,0.845
4365.T,松本油脂製薬,化学,9986.T,蔵王産業,卸売業,0.845
8898.T,センチュリー２１・ジャパン,不動産業,2816.T,ダイショー,食料品,0.843
2883.T,大冷,食料品,2169.T,ＣＤＳ,サービス業,0.843
2816.T,ダイショー,食料品,7562.T,安楽亭,小売業,0.841
4365.T,松本油脂製薬,化学,2186.T,ソーバル,サービス業,0.841
3800.T,ユニリタ,情報・通信業,2904.T,一正蒲鉾,食料品,0.84
2816.T,ダイショー,食料品,9017.T,新潟交通,陸運業,0.839
2818.T,ピエトロ,食料品,9661.T,歌舞伎座,サービス業,0.839
3800.T,ユニリタ,情報・通信業,3065.T,ライフフーズ,小売業,0.838
4365.T,松本油脂製薬,化学,2798.T,ワイズテーブルコーポレーション,小売業,0.837
