コード,銘柄名,業種33,規模,新業種,method
6047,Ｇｕｎｏｓｙ,サービス業,TOPIX Small 2,,
5542,新報国マテリアル,鉄鋼,-,鉄鋼・非鉄金属,rule
9248,人・夢・技術グループ,サービス業,TOPIX Small 2,,
7292,村上開明堂,輸送用機器,-,自動車・輸送用機器,rule
5959,岡部,金属製品,TOPIX Small 2,金属製品・金属加工,rule
4990,昭和化学工業,化学,-,,
7077,ＡＬｉＮＫインターネット,サービス業,-,,
4772,ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＪＡＰＡＮ,情報・通信業,-,,
7208,カネミツ,輸送用機器,-,自動車・輸送用機器,rule
3431,宮地エンジニアリンググループ,金属製品,TOPIX Small 1,金属製品・金属加工,rule
7539,アイナボホールディングス,卸売業,-,,
8742,小林洋行,証券、商品先物取引業,-,証券・保険・その他金融,rule
9408,ＢＳＮメディアホールディングス,情報・通信業,-,,
3930,はてな,情報・通信業,-,,
8014,蝶理,卸売業,TOPIX Small 2,,
6870,日本フェンオール,電気機器,-,,
6897,ツインバード,電気機器,-,,
4620,藤倉化成,化学,TOPIX Small 2,,
9466,アイドママーケティングコミュニケーション,情報・通信業,-,,
4934,プレミアアンチエイジング,化学,-,,
4623,アサヒペン,化学,-,,
4388,エーアイ,情報・通信業,-,,
3826,システムインテグレータ,情報・通信業,-,,
3839,ＯＤＫソリューションズ,情報・通信業,-,,
2408,ＫＧ情報,サービス業,-,,
7351,グッドパッチ,サービス業,-,,
4095,日本パーカライジング,化学,TOPIX Small 1,,
6063,日本エマージェンシーアシスタンス,サービス業,-,,
1795,マサル,建設業,-,,
3903,ｇｕｍｉ,情報・通信業,TOPIX Small 2,,
6626,ＳＥＭＩＴＥＣ,電気機器,-,,
196A,ＭＦＳ,その他金融業,-,証券・保険・その他金融,rule
3071,ストリーム,小売業,-,,
5357,ヨータイ,ガラス・土石製品,TOPIX Small 2,ガラス・セラミックス・ゴム,rule
4992,北興化学工業,化学,TOPIX Small 2,,
6794,フォスター電機,電気機器,TOPIX Small 2,,
5695,パウダーテック,鉄鋼,-,鉄鋼・非鉄金属,rule
8137,サンワテクノス,卸売業,TOPIX Small 2,,
3911,Ａｉｍｉｎｇ,情報・通信業,-,,
331A,メディックス,サービス業,-,,
4512,わかもと製薬,医薬品,-,医薬品・バイオ,rule
5410,合同製鐵,鉄鋼,TOPIX Small 1,鉄鋼・非鉄金属,rule
9404,日本テレビホールディングス,情報・通信業,TOPIX Mid400,,
9990,サックスバー　ホールディングス,小売業,TOPIX Small 2,,
1799,第一建設工業,建設業,-,,
3143,オーウイル,卸売業,-,,
5967,ＴＯＮＥ,金属製品,-,金属製品・金属加工,rule
6637,寺崎電気産業,電気機器,-,,
2330,フォーサイド,情報・通信業,-,,
304A,フォルシア,情報・通信業,-,,
6384,昭和真空,機械,-,,
6517,デンヨー,電気機器,TOPIX Small 2,,
3622,ネットイヤーグループ,情報・通信業,-,,
9563,Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,サービス業,-,,
6505,東洋電機製造,電気機器,-,,
6905,コーセル,電気機器,TOPIX Small 2,,
2819,エバラ食品工業,食料品,TOPIX Small 2,,
5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,不動産業,-,,
5983,イワブチ,金属製品,-,金属製品・金属加工,rule
8747,豊トラスティ証券,証券、商品先物取引業,-,証券・保険・その他金融,rule
8052,椿本興業,卸売業,TOPIX Small 2,,
4351,山田再生系債権回収総合事務所,その他金融業,-,証券・保険・その他金融,rule
7600,日本エム・ディ・エム,精密機器,TOPIX Small 2,計測・分析・光学機器,rule
7046,ＴＤＳＥ,サービス業,-,,
7140,ペットゴー,小売業,-,,
6580,ライトアップ,サービス業,-,,
